bytes,farm,xx,btreenew,horner,btree,fnv,sip
1,123003,106012,102663,91325,165180,52692,91154
2,240179,238529,194700,216940,276066,184103,209229
4,243887,234430,195400,219849,276499,187165,209984
8,253165,238474,196425,177378,277066,196942,213603
16,366600,239615,196040,188142,279666,212800,217470
32,425731,209462,200000,188791,279833,201212,188028
64,463400,222887,203437,195987,284100,267768,202345
128,628625,240074,203843,219249,286066,381312,244874
256,918900,277933,211025,262549,294633,615450,323500
512,1519600,364050,218300,338575,303200,1085400,477000
1024,2702500,609600,260399,604800,344950,2037400,839100
2048,5188600,1104800,342650,1073400,426450,3963900,1535500
