bytes,fnv,btree,btreenew,horner,sip,xx,farm
1,26512,173175,68735,53211,65785,67055,68209
2,58886,109727,85327,52500,67185,70535,67992
4,60975,115100,107250,55544,69042,70128,71684
8,74676,126625,112537,57816,67807,73953,90557
16,97960,131442,124325,78350,83350,86272,154350
32,140607,142614,128414,87336,108071,117325,211012
64,201960,160880,148558,118287,142285,140553,304166
128,298933,194462,181770,166837,232400,183915,412200
256,551800,281474,259150,273991,375850,281491,680700
512,1041600,429900,396200,520025,681000,515900,1199800
1024,2029150,733400,697450,885125,1282300,867475,2321300
2048,4013850,1369000,1342200,1708750,2518200,1629450,4340100
