bytes,btreenew,btree,xx,farm,fnv,sip,horner
1,106071,145666,78845,81356,36823,75753,64859
2,188350,232466,166452,162912,136420,158797,158942
4,189380,233175,164699,168387,139243,160010,157349
8,189920,233925,159840,180770,147616,159745,144789
16,190280,235250,165051,244308,154185,166127,148042
32,191100,237725,171475,284333,167037,162697,153115
64,192600,240000,170760,353793,204927,179217,154250
128,194130,241800,184870,427137,292283,216568,169180
256,199225,247400,201787,598675,465337,300474,191735
512,209937,258633,243416,976100,801550,451900,240833
1024,219100,268466,315550,1713900,1482100,751300,346850
2048,228475,278566,462350,3176500,2838500,1347400,550900
