bytes,sip,fnv,farm,xx,btreenew,horner,btree
1,44235,19882,51900,51878,35113,42904,66408
2,47194,35075,52200,54031,36682,43218,67175
4,54156,38567,54958,53480,44463,45433,69209
8,54482,51599,67942,58453,47270,48912,73549
16,65592,70724,128035,67861,55707,60896,79030
32,91980,117628,184120,93645,69699,74308,97850
64,129114,177775,239425,118946,91960,107488,119585
128,204425,276200,350262,160033,129514,149179,156060
256,354400,501600,554950,247533,201456,240450,227974
512,627350,959600,959400,429981,340875,410775,372387
1024,1214225,1876800,1765250,827400,635375,878200,666650
2048,2369900,3733300,3523400,1517500,1238200,1507400,1261700
